95.57	-3.27	95.92	-4.93	95.87	-4.88	96.50	-4.97       95.88	-3.37	95.95	-4.55	95.97	-4.53	97.88	-4.45
94.17	-3.98	94.59	-3.93	94.50	-3.94	95.06	-3.94       94.41	-4.11	94.51	-4.05	94.51	-4.04	96.02	-3.95
93.34	-4.75	93.55	-4.73	93.78	-4.72	94.28	-4.73       93.50	-4.91	93.61	-4.87	93.68	-4.80	95.04	-4.70
92.74	-5.42	92.96	-5.43	93.04	-5.43	93.54	-5.48       92.84	-5.62	92.99	-5.57	92.96	-5.56	94.41	-5.40
92.12	-5.89	92.39	-5.91	92.57	-5.90	92.94	-5.92       92.21	-5.98	92.29	-5.96	92.37	-5.97	93.71	-5.87
91.77	-6.28	91.92	-6.29	92.01	-6.29	92.49	-6.31       91.69	-6.36	91.81	-6.36	91.84	-6.36	93.14	-6.27
91.13	-6.56	91.31	-6.60	91.29	-6.59	91.78	-6.62       90.98	-6.65	91.07	-6.65	91.17	-6.66	92.49	-6.57
90.74	-6.79	90.71	-6.81	90.99	-6.85	91.40	-6.84       90.61	-6.88	90.70	-6.89	90.78	-6.87	92.00	-6.80
90.31	-6.94	90.39	-6.97	90.38	-6.97	90.98	-7.01       90.21	-7.04	90.27	-7.05	90.34	-7.04	91.64	-6.97
89.84	-7.04	89.98	-7.08	89.89	-7.08	90.47	-7.11       89.68	-7.14	89.77	-7.14	89.88	-7.16	91.10	-7.06
86.16	-7.01	86.26	-7.06	86.16	-7.07	86.80	-7.11       85.99	-7.14	86.04	-7.12	86.22	-7.12	87.34	-6.96
83.01	-7.94	83.08	-8.01	83.17	-8.01	83.58	-8.05       82.79	-8.06	82.85	-8.04	82.97	-8.05	84.11	-7.83
80.29	-8.45	80.50	-8.54	80.51	-8.54	80.97	-8.60       80.19	-8.59	80.21	-8.57	80.38	-8.57	81.43	-8.30
78.23	-8.69	78.41	-8.82	78.41	-8.81	78.90	-8.88       78.10	-8.84	78.17	-8.83	78.26	-8.83	79.39	-8.49
76.62	-8.71	76.80	-8.85	76.60	-8.86	77.22	-8.92       76.45	-8.88	76.51	-8.86	76.53	-8.86	77.66	-8.48
75.19	-8.74	75.35	-8.89	75.38	-8.90	75.67	-8.95       74.98	-8.90	75.04	-8.87	75.10	-8.88	76.20	-8.45
74.01	-8.67	74.17	-8.85	74.15	-8.86	74.37	-8.91       73.79	-8.83	73.86	-8.81	73.89	-8.82	75.09	-8.35
73.00	-8.62	73.16	-8.83	73.10	-8.84	73.57	-8.88       72.80	-8.79	72.81	-8.79	72.87	-8.80	73.94	-8.27
72.08	-8.50	72.22	-8.72	72.20	-8.72	72.69	-8.75       71.88	-8.66	71.89	-8.65	72.03	-8.65	73.07	-8.09
70.63	-8.29	70.75	-8.55	70.73	-8.56	71.26	-8.59       70.43	-8.47	70.44	-8.46	70.62	-8.46	71.62	-7.80
69.47	-7.95	69.69	-8.26	69.52	-8.27	70.08	-8.31       69.26	-8.16	69.26	-8.15	69.42	-8.15	70.49	-7.40
68.54	-7.75	68.73	-8.08	68.57	-8.11	69.01	-8.15       68.31	-7.96	68.32	-7.95	68.41	-7.95	69.51	-7.12
67.80	-7.52	68.00	-7.89	67.91	-7.91	68.24	-7.95       67.58	-7.74	67.53	-7.73	67.68	-7.71	68.72	-6.81
67.11	-7.28	67.26	-7.68	67.15	-7.69	67.55	-7.72       66.90	-7.48	66.93	-7.49	67.01	-7.46	68.08	-6.48
64.92	-6.37	65.03	-6.98	64.95	-7.01	65.33	-7.01       64.77	-6.63	64.64	-6.66	64.78	-6.65	65.89	-5.23
63.81	-5.59	63.83	-6.33	63.78	-6.40	64.14	-6.35       63.59	-5.84	63.51	-5.91	63.63	-5.86	64.77	-4.06
63.15	-5.13	63.16	-6.05	63.09	-6.13	63.34	-6.06       62.90	-5.41	62.79	-5.50	62.90	-5.45	64.15	-3.21
62.68	-4.75	62.65	-5.84	62.70	-5.94	63.04	-5.87       62.45	-5.08	62.34	-5.19	62.43	-5.11	63.80	-2.45
62.45	-4.52	62.38	-5.76	62.48	-5.90	62.59	-5.89       62.19	-4.97	62.09	-5.03	62.34	-4.92	63.54	-1.90
62.31	-4.36	62.24	-5.76	62.32	-5.93	62.40	-5.95       62.02	-4.86	61.94	-4.93	62.18	-4.79	63.45	-1.50
62.26	-4.37	62.26	-5.99	62.30	-6.21	62.43	-6.25       61.89	-4.92	61.91	-5.07	62.15	-4.92	63.55	-1.29
62.23	-4.24	62.05	-6.14	62.09	-6.42	62.05	-6.45       61.79	-4.86	61.71	-5.10	62.05	-4.56	63.24	-0.95
